5127,ABARTH,500,Abarth,43.5,155
5128,ALFA ROMEO,MiTo,1.4 16v Junior (78CV),47.9,138
5129,ALFA ROMEO,MiTo,1.4 16v,47.9,138
5130,ALFA ROMEO,MiTo,1.4 TB MultiAir 135,50.4,129
5131,ALFA ROMEO,MiTo,1.4 16v TB 155,43.5,153
5132,ALFA ROMEO,MiTo,1.4 TB MultiAir 170,47.1,139
5133,ALFA ROMEO,MiTo,1.3 JTDm 95,65.7,112
5134,ALFA ROMEO,MiTo,1.6 JTDm 120,58.9,126
5135,ALFA ROMEO,159,1750 TBi (200),34.9,189
5136,ALFA ROMEO,159,2.0 JTDm 16v (170),52.3,142
5137,ALFA ROMEO,159 Sportwagon,1750 TBi (200),34.0,194
5138,ALFA ROMEO,159 Sportwagon,2.0 JTDm 16v (170),51.4,145
5139,ALFA ROMEO,Brera,1750 TBi,34.9,189
5140,ALFA ROMEO,Brera,2.0 JTDm,52.3,142
5141,ALFA ROMEO,Spider,1750 TBi,34.4,192
5142,ALFA ROMEO,Spider,2.0 JTDm,52.3,142
5143,AUDI,A3,1.4 TFSI 125ps,47.1,139
5144,AUDI,A3,1.4 TFSI 125ps 7speed DSG,49.6,133
5145,AUDI,A3,1.8 TFSI 160ps,42.2,155
5146,AUDI,A3,1.8 TFSI 160ps 7speed DSG,42.8,153
5147,AUDI,A3,2.0 TFSI 200ps,39.2,166
5148,AUDI,A3,2.0 TFSI 200ps DSG,39.2,166
5149,AUDI,A3,2.0 TFSI 200ps quattro DSG,37.7,174
5150,AUDI,A3,S3 2.0 TFSI 265ps quattro,33.2,198
5151,AUDI,A3,S3 2.0 TFSI 265ps quattro S-Tronic,34.0,193
5152,AUDI,A3,1.6 TDIe 105PS with Stop-Start,68.9,109
5153,AUDI,A3,2.0 TDI 170ps quattro,50.4,148
5154,AUDI,A3,2.0 CR TDI 170PS with DPF,54.3,139
5155,AUDI,A3,2.0 CR TDI 170PS S-Tronic with DPF,50.4,147
5156,AUDI,A3 Sportback,1.4 TFSI 125ps,46.3,143
5157,AUDI,A3 Sportback,1.4 TFSI 125ps 7speed DSG S-Tronic,47.9,137
5158,AUDI,A3 Sportback,1.8 TFSI 160ps,42.2,157
5159,AUDI,A3 Sportback,1.8 TFSI 160ps 7speed DSG S-Tronic,42.8,154
5160,AUDI,A3 Sportback,2.0 TFSI 200ps,39.2,167
5161,AUDI,A3 Sportback,2.0 TFSI 200ps S-Tronic,39.2,166
5162,AUDI,A3 Sportback,2.0 TFSI 200ps quattro S-Tronic,37.2,176
5163,AUDI,A3 Sportback,S3 2.0 TFSI 265ps quattro,33.2,199
5164,AUDI,A3 Sportback,S3 2.0 TFSI 265ps quattro S-Tronic,33.6,195
5165,AUDI,A3 Sportback,1.6 TDIe 105PS with Stop-Start 1,67.3,112
5166,AUDI,A3 Sportback,1.6 TDIe 105PS with Stop-Start 2 ( Limited equipment ),68.9,109
5167,AUDI,A3 Sportback,2.0 CR TDI 170PS with DPF,45.3,139
5168,AUDI,A3 Sportback,2.0 CR TDI 170PS S-Tronic with DPF,49.6,149
5169,AUDI,A3 Cabriolet,1.6 TDI 105PS with Stop-Start,65.7,114
5170,AUDI,New A4 Saloon,1.8 TFSI 120ps,39.8,164
5171,AUDI,New A4 Saloon,1.8 FSI 160PS,39.8,164
